gvkey,iid,datadate,tic,conm,cshtrd,prccd,prchd,prcld,prcod,trfd,exchg
1447,1,4/1/2016,AXP,AMERICAN EXPRESS CO,9228601,67.59,68.18,66.77,68.09,2.41761236,11
1447,1,5/1/2016,AXP,AMERICAN EXPRESS CO,10807680,66.55,67.71,65.67,67.37,2.41761236,11
1447,1,6/1/2016,AXP,AMERICAN EXPRESS CO,9743069,64.42,65.55,64.24,65.24,2.42849574,11
1447,1,7/1/2016,AXP,AMERICAN EXPRESS CO,11317630,63.84,64.2516,63.084,63.31,2.42849574,11
1447,1,8/1/2016,AXP,AMERICAN EXPRESS CO,10003330,63.63,64.4085,63.57,64.18,2.42849574,11
1447,1,11/1/2016,AXP,AMERICAN EXPRESS CO,8157575,64.05,64.21,63.1,63.74,2.42849574,11
1447,1,12/1/2016,AXP,AMERICAN EXPRESS CO,7554785,64.4,64.9,63.6,64.8,2.42849574,11
1447,1,13/01/2016,AXP,AMERICAN EXPRESS CO,11291190,62.85,64.37,62.23,63.65,2.42849574,11
1447,1,14/01/2016,AXP,AMERICAN EXPRESS CO,6652028,63.29,63.75,62.37,62.85,2.42849574,11
1447,1,15/01/2016,AXP,AMERICAN EXPRESS CO,8628137,62.91,63.05,61.5,62.03,2.42849574,11
1447,1,19/01/2016,AXP,AMERICAN EXPRESS CO,7650778,62.64,63.79,62.24,63.41,2.42849574,11
1447,1,20/01/2016,AXP,AMERICAN EXPRESS CO,9035858,63.03,63.54,61.29,61.54,2.42849574,11
1447,1,21/01/2016,AXP,AMERICAN EXPRESS CO,8963086,62.64,64.32,62.51,63,2.42849574,11
1447,1,22/01/2016,AXP,AMERICAN EXPRESS CO,43776610,55.06,58.89,54.14,58.39,2.42849574,11
1447,1,25/01/2016,AXP,AMERICAN EXPRESS CO,18494740,55.02,55.77,54.14,54.46,2.42849574,11
1447,1,26/01/2016,AXP,AMERICAN EXPRESS CO,12843990,55.09,55.74,54.96,55.2,2.42849574,11
1447,1,27/01/2016,AXP,AMERICAN EXPRESS CO,11031430,54.52,55.82,54.42,55.37,2.42849574,11
1447,1,28/01/2016,AXP,AMERICAN EXPRESS CO,18008560,52.88,54.76,52.15,54.68,2.42849574,11
1447,1,29/01/2016,AXP,AMERICAN EXPRESS CO,13980380,53.5,53.705,53.05,53.18,2.42849574,11
1447,1,1/2/2016,AXP,AMERICAN EXPRESS CO,9861882,54.7,54.99,53,53.41,2.42849574,11
1447,1,2/2/2016,AXP,AMERICAN EXPRESS CO,11698020,53.66,54.39,53.49,54.33,2.42849574,11
1447,1,3/2/2016,AXP,AMERICAN EXPRESS CO,9729528,54.11,54.29,52.83,54,2.42849574,11
1447,1,4/2/2016,AXP,AMERICAN EXPRESS CO,6898241,54.38,54.46,53.81,54.08,2.42849574,11
