COMPANY,RPNA_DATE_UTC,TIMESTAMP_UTC,RP_ENTITY_ID,ENTITY_TYPE,NEWS_TYPE,RP_STORY_ID,AEV,RP_STORY_EVENT_INDEX,RP_STORY_EVENT_COUNT,PEQ,BEE,BMQ,BAM,BCA,BER,ANL_CHG,MCQ,RPNA_DATE_UTC,,
US/AMZN,2/1/2018,00:25.2,0157B1,COMP,PRESS-RELEASE,52CF37C16D7DF5A974DA6AF239938466,45,2,8,50,50,50,50,50,50,50,50,2/1/2018,,
US/AMZN,2/1/2018,56:05.3,0157B1,COMP,PRESS-RELEASE,D8438048900BD343A32F217BBE1E2AB6,45,3,19,100,50,100,50,50,50,50,50,2/1/2018,,
US/AMZN,2/1/2018,00:00.6,0157B1,COMP,PRESS-RELEASE,9F83A54A4B5D5CB1AC72751311E04E3E,45,1,1,50,50,100,50,100,100,50,100,2/1/2018,,
US/AMZN,2/1/2018,35:03.0,0157B1,COMP,PRESS-RELEASE,C1E19E976F40C1D206B1AE90B577CA19,45,1,4,50,50,50,50,50,50,50,50,2/1/2018,,
US/AMZN,2/1/2018,00:04.2,0157B1,COMP,PRESS-RELEASE,005F4E64DC13F78EF8DA11E1989942BB,45,2,8,50,50,50,50,50,50,50,50,2/1/2018,,
US/AMZN,2/1/2018,00:08.2,0157B1,COMP,PRESS-RELEASE,EBBD9AABF38B4558789F39C812F468D7,45,1,9,100,50,100,50,50,50,50,50,2/1/2018,,
US/AMZN,2/1/2018,00:25.9,0157B1,COMP,PRESS-RELEASE,0D71A6AC897974361FCE911B6C2C0FE1,45,1,9,100,50,100,50,50,50,50,50,2/1/2018,,
US/AMZN,2/1/2018,30:00.4,0157B1,COMP,PRESS-RELEASE,9E276E86D39C479CDCAAFF46A2432873,45,1,1,50,50,50,50,50,50,50,50,2/1/2018,,
US/AMZN,2/1/2018,00:04.2,0157B1,COMP,PRESS-RELEASE,88DC876F8519637EFFCA43EE29AF93C2,45,1,2,50,50,50,50,50,50,50,50,2/1/2018,,
US/AMZN,2/1/2018,48:23.0,0157B1,COMP,PRESS-RELEASE,59AB4B1D95589D273A89F4C3C1E26CEE,45,1,3,50,50,100,50,50,50,50,50,2/1/2018,,
US/AMZN,2/1/2018,45:02.1,0157B1,COMP,PRESS-RELEASE,C93F4DC30436E3B956719464431B10FF,45,2,3,50,50,50,50,100,50,50,50,2/1/2018,,
US/AMZN,2/1/2018,15:02.8,0157B1,COMP,PRESS-RELEASE,736F68E19BBBEC4A00282813911DEFE4,45,4,8,50,50,100,50,50,50,50,50,2/1/2018,,
US/AMZN,3/1/2018,00:05.0,0157B1,COMP,PRESS-RELEASE,A2FD6F875A5C4766715A192F5E7382C8,45,3,13,100,50,100,50,50,50,50,50,3/1/2018,,
US/AMZN,3/1/2018,45:02.0,0157B1,COMP,PRESS-RELEASE,F422249B9BB38A0C055BCF9A5D7940A4,45,2,13,50,50,50,50,50,50,50,50,3/1/2018,,
US/AMZN,3/1/2018,00:04.6,0157B1,COMP,PRESS-RELEASE,921D0AD3158858592143FEDBE75051DF,45,1,1,50,50,50,50,50,50,50,50,3/1/2018,,
US/AMZN,3/1/2018,05:58.5,0157B1,COMP,PRESS-RELEASE,069151DB5CF096833CAF26ADE6E78C4B,45,2,5,100,50,50,50,50,50,50,50,3/1/2018,,
US/AMZN,3/1/2018,30:02.9,0157B1,COMP,PRESS-RELEASE,5CFAF844477E95FBC8B24EB16EB7E32D,45,2,8,100,100,100,100,50,100,50,50,3/1/2018,,
US/AMZN,3/1/2018,01:04.3,0157B1,COMP,PRESS-RELEASE,1F1A330E4F94E82E061F94F7A12C563E,45,1,1,50,50,50,50,50,50,50,50,3/1/2018,,
US/AMZN,3/1/2018,40:01.8,0157B1,COMP,PRESS-RELEASE,B4F38A89D509A39F51D397290C17DCD1,45,1,1,50,50,50,50,50,50,50,50,3/1/2018,,
US/AMZN,3/1/2018,02:00.3,0157B1,COMP,PRESS-RELEASE,972918A80212C481346C4563E930453D,45,1,5,50,50,100,50,100,100,50,100,3/1/2018,,
US/AMZN,3/1/2018,02:00.3,0157B1,COMP,PRESS-RELEASE,F7964BEB81A40D146C226BFA7FD867E0,45,1,1,50,50,100,50,50,50,50,100,3/1/2018,,
US/AMZN,3/1/2018,15:03.1,0157B1,COMP,PRESS-RELEASE,B10633D58F1AD1D210FEB3D6C83883A7,45,1,1,50,50,50,50,50,50,50,50,3/1/2018,,
US/AMZN,3/1/2018,45:00.3,0157B1,COMP,PRESS-RELEASE,32EB7CEE08BAA136095B825BF7FF2FAD,45,1,1,100,50,100,50,50,50,50,50,3/1/2018,,
US/AMZN,3/1/2018,00:00.4,0157B1,COMP,PRESS-RELEASE,558B38451F85ADE6C06E555F6C638F21,45,2,2,100,50,50,50,50,0,50,50,3/1/2018,,
US/AMZN,3/1/2018,10:00.3,0157B1,COMP,PRESS-RELEASE,AA82FF68DA1A386378C232510CC634F4,45,3,4,50,50,100,50,50,50,50,50,3/1/2018,,
US/AMZN,3/1/2018,20:00.3,0157B1,COMP,PRESS-RELEASE,7D9CD61E17A9323E26053E8899F228AA,45,1,3,100,100,100,50,50,50,50,50,3/1/2018,,
US/AMZN,3/1/2018,05:30.8,0157B1,COMP,PRESS-RELEASE,FFBC70F52F70F5C04F68A03E1F7F11DC,45,5,25,50,50,100,50,50,50,50,50,3/1/2018,,
US/AMZN,3/1/2018,25:42.0,0157B1,COMP,PRESS-RELEASE,92667E615EFC0C820B6126E5A38097D9,45,2,8,50,50,100,50,50,50,50,50,3/1/2018,,
